id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
548342,Washington DC,2012-04-27,V Sehwag,Nationals Park,0,Washington Nationals,Atlanta Braves,Atlanta Braves,field,Washington Nationals,runs,37,N,NA,Aleem Dar,BNJ Oxenford
548343,Detroit ,2012-04-28,Mandeep Singh,Comerica Park,0,San Francisco Giants,Philadelphia Phillies,Philadelphia Phillies,bat,Philadelphia Phillies,runs,7,N,NA,BF Bowden,SK Tarapore
548344,Chicago,2012-04-28,G Gambhir,	Guaranteed Rate Field,0,Chicago Cubs,New York Mets,Chicago Cubs,bat,Chicago Cubs,runs,47,N,NA,Asad Rauf,BR Doctrove
548345,Washington DC,2012-04-29,V Sehwag,Nationals Park,0,Washington Nationals,Milwaukee Brewers,Washington Nationals,bat,Washington Nationals,runs,1,N,NA,S Ravi,RJ Tucker
548346,Cumberland,2012-04-29,Ian Anderson,Truist Park,0,Atlanta Braves,Miami Marlins,Atlanta Braves,Pitch,Atlanta Braves,wickets,5,N,NA,AK Chaudhary,BNJ Oxenford
548347,Detroit ,2012-04-30,G Gambhir,Comerica Park,0,San Francisco Giants,Chicago Cubs,San Francisco Giants,bat,Chicago Cubs,wickets,5,N,NA,BF Bowden,C Shamshuddin
548348,Detroit ,2012-05-01,KC Sangakkara,Comerica Park,0,Miami Marlins,Washington Nationals,Miami Marlins,bat,Miami Marlins,runs,13,N,NA,Aleem Dar,AK Chaudhary
548349,Milwaukee,2012-05-01,P Negi,American Family Field,0,Milwaukee Brewers,Washington Nationals,Milwaukee Brewers,bat,Washington Nationals,wickets,6,N,NA,JD Cloete,SJA Taufel
548350,"Queens, New York",2012-05-02,Azhar Mahmood,Citi Field,0,New York Mets,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,4,N,NA,BF Bowden,C Shamshuddin
548351,San Diego,2012-05-03,SL Malinga,	Petco Park,0,Washington Nationals,Atlanta Braves,Atlanta Braves,bat,Atlanta Braves,runs,1,N,NA,Asad Rauf,S Asnani
548352,Detroit ,2012-05-04,SK Raina,Comerica Park,0,San Francisco Giants,Miami Marlins,San Francisco Giants,bat,San Francisco Giants,runs,10,N,NA,HDPK Dharmasena,BNJ Oxenford
548353,Chicago,2012-05-05,SP Narine,	Guaranteed Rate Field,0,Chicago Cubs,Washington Nationals,Chicago Cubs,bat,Chicago Cubs,runs,7,N,NA,BF Bowden,SK Tarapore
548354,Philadelphia,2012-05-05,SR Watson,Citizens Bank Park,0,Philadelphia Phillies,Milwaukee Brewers,Milwaukee Brewers,bat,Milwaukee Brewers,runs,43,N,NA,JD Cloete,SJA Taufel
548355,Cumberland,2012-05-06,Ian Anderson,Truist Park,0,Atlanta Braves,San Francisco Giants,Atlanta Braves,Pitch,Atlanta Braves,wickets,2,N,NA,Asad Rauf,S Asnani
548356,"Queens, New York",2012-05-06,AB de Villiers,Citi Field,0,New York Mets,Miami Marlins,New York Mets,field,New York Mets,wickets,5,N,NA,HDPK Dharmasena,BNJ Oxenford
548357,Washington DC,2012-05-07,JH Kallis,Nationals Park,0,Washington Nationals,Chicago Cubs,Washington Nationals,bat,Chicago Cubs,wickets,6,N,NA,JD Cloete,S Ravi
548358,San Diego,2012-05-08,SR Watson,	Petco Park,0,Washington Nationals,Milwaukee Brewers,Washington Nationals,bat,Milwaukee Brewers,wickets,7,N,NA,Asad Rauf,BR Doctrove
548359,Pittsburgh,2012-05-08,Mandeep Singh,PNC Park,0,Miami Marlins,Philadelphia Phillies,Miami Marlins,field,Philadelphia Phillies,runs,25,N,NA,HDPK Dharmasena,BNJ Oxenford
548360,Cumberland,2012-05-09,Ian Anderson,Truist Park,0,Atlanta Braves,New York Mets,New York Mets,Pitch,New York Mets,wickets,9,N,NA,BF Bowden,VA Kulkarni
548361,Milwaukee,2012-05-10,BW Hilfenhaus,American Family Field,0,Milwaukee Brewers,San Francisco Giants,San Francisco Giants,field,San Francisco Giants,wickets,4,N,NA,BNJ Oxenford,C Shamshuddin
548362,San Diego,2012-05-11,CH Gayle,	Petco Park,0,Washington Nationals,New York Mets,Washington Nationals,field,New York Mets,runs,35,N,NA,BF Bowden,SK Tarapore
548363,Chicago,2012-05-12,RG Sharma,	Guaranteed Rate Field,0,Chicago Cubs,Atlanta Braves,Atlanta Braves,bat,Atlanta Braves,runs,27,N,NA,S Ravi,SJA Taufel
548364,Detroit ,2012-05-12,BW Hilfenhaus,Comerica Park,0,San Francisco Giants,Washington Nationals,San Francisco Giants,field,San Francisco Giants,wickets,9,N,NA,S Das,BR Doctrove
548365,Milwaukee,2012-05-13,A Chandila,American Family Field,0,Milwaukee Brewers,Washington Nationals,Milwaukee Brewers,bat,Milwaukee Brewers,runs,45,N,NA,BF Bowden,SK Tarapore
548366,Philadelphia,2012-05-13,DJ Hussey,Citizens Bank Park,0,Philadelphia Phillies,Miami Marlins,Miami Marlins,bat,Philadelphia Phillies,wickets,4,N,NA,HDPK Dharmasena,BNJ Oxenford
548367,"Queens, New York",2012-05-14,AT Rayudu,Citi Field,0,New York Mets,Atlanta Braves,Atlanta Braves,field,Atlanta Braves,wickets,5,N,NA,S Das,BR Doctrove
548368,Chicago,2012-05-14,MEK Hussey,	Guaranteed Rate Field,0,Chicago Cubs,San Francisco Giants,San Francisco Giants,field,San Francisco Giants,wickets,5,N,NA,JD Cloete,SJA Taufel
548369,Washington DC,2012-05-15,UT Yadav,Nationals Park,0,Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,bat,Washington Nationals,wickets,5,N,NA,HDPK Dharmasena,BNJ Oxenford
548370,Cumberland,2012-05-16,Ian Anderson,Truist Park,0,Atlanta Braves,Chicago Cubs,Atlanta Braves,Pitch,Chicago Cubs,runs,32,N,NA,S Das,BR Doctrove
548371,Anaheim,2012-05-17,AC Gilchrist,Angel Stadium,0,Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,field,Philadelphia Phillies,wickets,6,N,NA,VA Kulkarni,SK Tarapore
548372,Washington DC,2012-05-17,CH Gayle,Nationals Park,0,Washington Nationals,New York Mets,Washington Nationals,field,New York Mets,runs,21,N,NA,HDPK Dharmasena,C Shamshuddin
548373,Pittsburgh,2012-05-18,DW Steyn,PNC Park,0,Miami Marlins,Milwaukee Brewers,Milwaukee Brewers,bat,Miami Marlins,wickets,5,N,NA,S Ravi,SJA Taufel
548374,Anaheim,2012-05-19,UT Yadav,Angel Stadium,0,Philadelphia Phillies,Washington Nationals,Washington Nationals,field,Washington Nationals,wickets,6,N,NA,BF Bowden,VA Kulkarni
548375,San Diego,2012-05-19,Shakib Al Hasan,	Petco Park,0,Washington Nationals,Chicago Cubs,Chicago Cubs,bat,Chicago Cubs,runs,34,N,NA,S Asnani,BR Doctrove
548376,Pittsburgh,2012-05-20,DW Steyn,PNC Park,0,Miami Marlins,New York Mets,New York Mets,field,Miami Marlins,runs,9,N,NA,S Ravi,SJA Taufel
548377,Milwaukee,2012-05-20,DR Smith,American Family Field,0,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,bat,Atlanta Braves,wickets,10,N,NA,HDPK Dharmasena,C Shamshuddin
548378,San Diego,2012-05-22,YK Pathan,	Petco Park,0,Washington Nationals,Chicago Cubs,Chicago Cubs,bat,Chicago Cubs,runs,18,N,NA,BR Doctrove,SJA Taufel
548379,"Queens, New York",2012-05-23,MS Dhoni,Citi Field,0,San Francisco Giants,Atlanta Braves,Atlanta Braves,field,San Francisco Giants,runs,38,N,NA,BF Bowden,HDPK Dharmasena
548380,Detroit ,2012-05-25,M Vijay,Comerica Park,0,Washington Nationals,San Francisco Giants,Washington Nationals,field,San Francisco Giants,runs,86,N,NA,BR Doctrove,SJA Taufel
548381,Detroit ,2012-05-27,MS Bisla,Comerica Park,0,Chicago Cubs,San Francisco Giants,San Francisco Giants,bat,Chicago Cubs,wickets,5,N,NA,BF Bowden,SJA Taufel
597998,Chicago,2013-04-03,SP Narine,	Guaranteed Rate Field,0,Chicago Cubs,Washington Nationals,Chicago Cubs,field,Chicago Cubs,wickets,6,N,NA,S Ravi,SJA Taufel
597999,"Queens, New York",2013-04-04,CH Gayle,Citi Field,0,New York Mets,Atlanta Braves,Atlanta Braves,field,New York Mets,runs,2,N,NA,VA Kulkarni,C Shamshuddin
598000,Oakland,2013-04-05,A Mishra,RingCentral Coliseum,0,Tampa Bay Rays,Washington Nationals,Washington Nationals,field,Tampa Bay Rays,runs,22,N,NA,S Ravi,SJA Taufel
598001,Washington DC,2013-04-06,R Dravid,Nationals Park,0,Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,bat,Milwaukee Brewers,runs,5,N,NA,S Das,C Shamshuddin
598002,Detroit ,2013-04-06,KA Pollard,Comerica Park,0,San Francisco Giants,Atlanta Braves,Atlanta Braves,bat,Atlanta Braves,runs,9,N,NA,M Erasmus,VA Kulkarni
598003,San Diego,2013-04-07,M Vohra,	Petco Park,0,Washington Nationals,Philadelphia Phillies,Washington Nationals,bat,Philadelphia Phillies,wickets,8,N,NA,S Asnani,SJA Taufel
598004,Oakland,2013-04-07,GH Vihari,RingCentral Coliseum,0,Tampa Bay Rays,New York Mets,New York Mets,bat,Tampa Bay Rays,tie,NA,Y,NA,AK Chaudhary,S Ravi
598005,Milwaukee,2013-04-08,SK Trivedi,American Family Field,0,Milwaukee Brewers,Chicago Cubs,Chicago Cubs,field,Milwaukee Brewers,runs,19,N,NA,Aleem Dar,S Das
598006,Cumberland,2013-04-09,Ian Anderson,Truist Park,0,Atlanta Braves,Washington Nationals,Atlanta Braves,Pitch,Atlanta Braves,runs,44,N,NA,M Erasmus,VA Kulkarni
598007,Philadelphia,2013-04-10,MEK Hussey,Citizens Bank Park,0,Philadelphia Phillies,San Francisco Giants,San Francisco Giants,field,San Francisco Giants,wickets,10,N,NA,Aleem Dar,C Shamshuddin
598008,"Queens, New York",2013-04-11,CH Gayle,Citi Field,0,New York Mets,Chicago Cubs,New York Mets,field,New York Mets,wickets,8,N,NA,Asad Rauf,AK Chaudhary
598009,San Diego,2013-04-11,AJ Finch,	Petco Park,0,Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,bat,Washington Nationals,wickets,7,N,NA,M Erasmus,K Srinath
598010,Washington DC,2013-04-12,A Mishra,Nationals Park,0,Washington Nationals,Tampa Bay Rays,Washington Nationals,bat,Tampa Bay Rays,wickets,3,N,NA,Aleem Dar,Subroto Das
598011,Cumberland,2013-04-13,Ian Anderson,Truist Park,0,Atlanta Braves,Washington Nationals,Atlanta Braves,Pitch,Atlanta Braves,runs,41,N,NA,S Ravi,SJA Taufel
598012,Detroit ,2013-04-13,RA Jadeja,Comerica Park,0,San Francisco Giants,New York Mets,San Francisco Giants,field,San Francisco Giants,wickets,4,N,NA,Asad Rauf,AK Chaudhary
598013,Chicago,2013-04-14,G Gambhir,	Guaranteed Rate Field,0,Chicago Cubs,Tampa Bay Rays,Chicago Cubs,bat,Chicago Cubs,runs,48,N,NA,M Erasmus,VA Kulkarni
598014,Milwaukee,2013-04-14,JP Faulkner,American Family Field,0,Milwaukee Brewers,Philadelphia Phillies,Milwaukee Brewers,field,Milwaukee Brewers,wickets,6,N,NA,Aleem Dar,C Shamshuddin
598015,Detroit ,2013-04-15,SPD Smith,Comerica Park,0,San Francisco Giants,Washington Nationals,Washington Nationals,bat,Washington Nationals,runs,24,N,NA,Asad Rauf,AK Chaudhary
598016,Philadelphia,2013-04-16,MS Gony,Citizens Bank Park,0,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,field,Philadelphia Phillies,runs,4,N,NA,CK Nandan,SJA Taufel
598017,"Queens, New York",2013-04-16,V Kohli,Citi Field,0,New York Mets,Washington Nationals,New York Mets,field,New York Mets,tie,NA,Y,NA,M Erasmus,VA Kulkarni
598018,San Diego,2013-04-17,A Mishra,	Petco Park,0,Washington Nationals,Tampa Bay Rays,Washington Nationals,field,Tampa Bay Rays,runs,11,N,NA,Asad Rauf,AK Chaudhary
598019,Milwaukee,2013-04-17,AM Rahane,American Family Field,0,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,bat,Milwaukee Brewers,runs,87,N,NA,Aleem Dar,C Shamshuddin
598020,Washington DC,2013-04-18,MEK Hussey,Nationals Park,0,Washington Nationals,San Francisco Giants,San Francisco Giants,bat,San Francisco Giants,runs,86,N,NA,M Erasmus,VA Kulkarni
598021,Oakland,2013-04-19,GH Vihari,RingCentral Coliseum,0,Tampa Bay Rays,Philadelphia Phillies,Philadelphia Phillies,bat,Tampa Bay Rays,wickets,5,N,NA,HDPK Dharmasena,CK Nandan
598022,Chicago,2013-04-20,RA Jadeja,	Guaranteed Rate Field,0,Chicago Cubs,San Francisco Giants,Chicago Cubs,bat,San Francisco Giants,wickets,4,N,NA,Asad Rauf,AK Chaudhary
598023,"Queens, New York",2013-04-20,R Vinay Kumar,Citi Field,0,New York Mets,Milwaukee Brewers,New York Mets,field,New York Mets,wickets,7,N,NA,Aleem Dar,C Shamshuddin
598024,Washington DC,2013-04-21,V Sehwag,Nationals Park,0,Washington Nationals,Atlanta Braves,Atlanta Braves,bat,Washington Nationals,wickets,9,N,NA,HDPK Dharmasena,S Ravi
598025,Philadelphia,2013-04-21,DA Miller,Citizens Bank Park,0,Philadelphia Phillies,Washington Nationals,Philadelphia Phillies,field,Philadelphia Phillies,wickets,7,N,NA,M Erasmus,K Srinath
598026,Detroit ,2013-04-22,MEK Hussey,Comerica Park,0,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,bat,San Francisco Giants,wickets,5,N,NA,S Asnani,AK Chaudhary
598027,"Queens, New York",2013-04-23,CH Gayle,Citi Field,0,New York Mets,Washington Nationals,Washington Nationals,field,New York Mets,runs,130,N,NA,Aleem Dar,C Shamshuddin
598028,Anaheim,2013-05-16,DA Miller,Angel Stadium,0,Philadelphia Phillies,Washington Nationals,Washington Nationals,field,Philadelphia Phillies,runs,7,N,NA,HDPK Dharmasena,S Ravi
598029,Chicago,2013-04-24,DR Smith,	Guaranteed Rate Field,0,Chicago Cubs,Atlanta Braves,Chicago Cubs,bat,Atlanta Braves,wickets,5,N,NA,HDPK Dharmasena,S Ravi
598030,Detroit ,2013-04-25,MS Dhoni,Comerica Park,0,San Francisco Giants,Tampa Bay Rays,Tampa Bay Rays,bat,San Francisco Giants,wickets,5,N,NA,Aleem Dar,S Das
598031,Chicago,2013-04-26,JH Kallis,	Guaranteed Rate Field,0,Chicago Cubs,Philadelphia Phillies,Philadelphia Phillies,bat,Chicago Cubs,wickets,6,N,NA,CK Nandan,S Ravi
598032,Milwaukee,2013-04-27,JP Faulkner,American Family Field,0,Milwaukee Brewers,Tampa Bay Rays,Tampa Bay Rays,bat,Milwaukee Brewers,wickets,8,N,NA,VA Kulkarni,K Srinath
598033,Cumberland,2013-04-27,Ian Anderson,Truist Park,0,Atlanta Braves,New York Mets,Atlanta Braves,Pitch,Atlanta Braves,runs,58,N,NA,Asad Rauf,S Asnani
598034,Detroit ,2013-04-28,MEK Hussey,Comerica Park,0,San Francisco Giants,Chicago Cubs,Chicago Cubs,field,San Francisco Giants,runs,14,N,NA,Aleem Dar,SJA Taufel
598035,Pittsburgh,2013-04-28,DA Warner,PNC Park,0,Washington Nationals,Washington Nationals,Washington Nationals,field,Washington Nationals,runs,15,N,NA,CK Nandan,S Ravi
598036,Milwaukee,2013-04-29,SV Samson,American Family Field,0,Milwaukee Brewers,New York Mets,Milwaukee Brewers,field,Milwaukee Brewers,wickets,4,N,NA,M Erasmus,K Srinath
598037,Cumberland,2013-04-29,Ian Anderson,Truist Park,0,Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Pitch,Atlanta Braves,runs,4,N,NA,Asad Rauf,AK Chaudhary
598038,San Diego,2013-04-30,MS Dhoni,	Petco Park,0,Washington Nationals,San Francisco Giants,San Francisco Giants,bat,San Francisco Giants,runs,37,N,NA,S Das,SJA Taufel
598039,Oakland,2013-05-01,I Sharma,RingCentral Coliseum,0,Tampa Bay Rays,Atlanta Braves,Atlanta Braves,bat,Tampa Bay Rays,wickets,7,N,NA,Asad Rauf,S Asnani
598040,Pittsburgh,2013-05-01,DA Warner,PNC Park,0,Washington Nationals,Chicago Cubs,Chicago Cubs,bat,Washington Nationals,wickets,7,N,NA,HDPK Dharmasena,CK Nandan
598041,Detroit ,2013-05-02,SK Raina,Comerica Park,0,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,bat,San Francisco Giants,runs,15,N,NA,M Erasmus,VA Kulkarni
598042,San Diego,2013-05-02,AB de Villiers,	Petco Park,0,Washington Nationals,New York Mets,New York Mets,bat,New York Mets,runs,17,N,NA,Aleem Dar,C Shamshuddin
598043,Chicago,2013-05-03,YK Pathan,	Guaranteed Rate Field,0,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,bat,Chicago Cubs,wickets,8,N,NA,HDPK Dharmasena,CK Nandan
598044,Oakland,2013-05-04,DJG Sammy,RingCentral Coliseum,0,Tampa Bay Rays,Washington Nationals,Washington Nationals,bat,Tampa Bay Rays,wickets,6,N,NA,Asad Rauf,S Asnani
598045,"Queens, New York",2013-05-14,AC Gilchrist,Citi Field,0,New York Mets,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,7,N,NA,HDPK Dharmasena,S Ravi
598046,Cumberland,2013-05-05,Ian Anderson,Truist Park,0,Atlanta Braves,San Francisco Giants,Atlanta Braves,Pitch,Atlanta Braves,runs,60,N,NA,HDPK Dharmasena,CK Nandan
598047,Milwaukee,2013-05-05,AM Rahane,American Family Field,0,Milwaukee Brewers,Washington Nationals,Washington Nationals,bat,Milwaukee Brewers,wickets,5,N,NA,C Shamshuddin,RJ Tucker
598048,"Queens, New York",2013-04-09,V Kohli,Citi Field,0,New York Mets,Tampa Bay Rays,Tampa Bay Rays,bat,New York Mets,wickets,7,N,NA,S Ravi,SJA Taufel
598049,Milwaukee,2013-05-07,AM Rahane,American Family Field,0,Milwaukee Brewers,Washington Nationals,Washington Nationals,bat,Milwaukee Brewers,wickets,9,N,NA,Aleem Dar,RJ Tucker
598050,Cumberland,2013-05-07,Ian Anderson,Truist Park,0,Atlanta Braves,Chicago Cubs,Atlanta Braves,Pitch,Atlanta Braves,runs,65,N,NA,HDPK Dharmasena,S Ravi
598051,Oakland,2013-05-08,SK Raina,RingCentral Coliseum,0,Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays,field,San Francisco Giants,runs,77,N,NA,S Das,NJ Llong
598052,Philadelphia,2013-05-09,KK Cooper,Citizens Bank Park,0,Philadelphia Phillies,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,8,N,NA,HDPK Dharmasena,S Ravi
598053,San Diego,2013-05-09,G Gambhir,	Petco Park,0,Washington Nationals,Chicago Cubs,Chicago Cubs,bat,Chicago Cubs,runs,46,N,NA,Asad Rauf,S Asnani
598054,Washington DC,2013-05-10,JD Unadkat,Nationals Park,0,Washington Nationals,New York Mets,Washington Nationals,field,New York Mets,runs,4,N,NA,NJ Llong,K Srinath
598055,San Diego,2013-05-11,MG Johnson,	Petco Park,0,Washington Nationals,Atlanta Braves,Washington Nationals,bat,Atlanta Braves,wickets,5,N,NA,Asad Rauf,AK Chaudhary
598056,Philadelphia,2013-05-11,PA Patel,Citizens Bank Park,0,Philadelphia Phillies,Tampa Bay Rays,Philadelphia Phillies,field,Tampa Bay Rays,runs,30,N,NA,S Das,RJ Tucker
598057,Oakland,2013-05-12,JH Kallis,	RingCentral Coliseum,0,Chicago Cubs,New York Mets,Chicago Cubs,field,Chicago Cubs,wickets,5,N,NA,NJ Llong,K Srinath
598058,Milwaukee,2013-05-12,SR Watson,American Family Field,0,Milwaukee Brewers,San Francisco Giants,Milwaukee Brewers,field,Milwaukee Brewers,wickets,5,N,NA,HDPK Dharmasena,CK Nandan
598059,Washington DC,2013-04-23,Harmeet Singh,Nationals Park,0,Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,5,N,NA,VA Kulkarni,K Srinath
598060,Cumberland,2013-05-13,Ian Anderson,Truist Park,0,Atlanta Braves,Tampa Bay Rays,Tampa Bay Rays,Pitch,Atlanta Braves,wickets,7,N,NA,AK Chaudhary,SJA Taufel
598061,Oakland,2013-05-15,MK Pandey,	RingCentral Coliseum,0,Chicago Cubs,Washington Nationals,Chicago Cubs,field,Washington Nationals,runs,7,N,NA,NJ Llong,K Srinath
598062,Detroit ,2013-05-14,MS Dhoni,Comerica Park,0,San Francisco Giants,Washington Nationals,San Francisco Giants,bat,San Francisco Giants,runs,33,N,NA,C Shamshuddin,RJ Tucker
598063,Cumberland,2013-05-15,Ian Anderson,Truist Park,0,Atlanta Braves,Milwaukee Brewers,Milwaukee Brewers,Pitch,Atlanta Braves,runs,14,N,NA,Asad Rauf,S Asnani
598064,Philadelphia,2013-05-06,DA Miller,Citizens Bank Park,0,Philadelphia Phillies,New York Mets,Philadelphia Phillies,field,Philadelphia Phillies,wickets,6,N,NA,VA Kulkarni,NJ Llong
598065,Oakland,2013-05-17,A Mishra,RingCentral Coliseum,0,Tampa Bay Rays,Milwaukee Brewers,Tampa Bay Rays,bat,Tampa Bay Rays,runs,23,N,NA,Asad Rauf,AK Chaudhary
598066,Anaheim,2013-05-18,Azhar Mahmood,Angel Stadium,0,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,field,Philadelphia Phillies,runs,50,N,NA,HDPK Dharmasena,CK Nandan
598067,San Diego,2013-05-19,LJ Wright,	Petco Park,0,Washington Nationals,Washington Nationals,Washington Nationals,bat,Washington Nationals,runs,38,N,NA,NJ Llong,SJA Taufel
598068,"Queens, New York",2013-05-18,V Kohli,Citi Field,0,New York Mets,San Francisco Giants,San Francisco Giants,field,New York Mets,runs,24,N,NA,C Shamshuddin,RJ Tucker
598069,Oakland,2013-05-19,PA Patel,RingCentral Coliseum,0,Tampa Bay Rays,Chicago Cubs,Chicago Cubs,bat,Tampa Bay Rays,wickets,5,N,NA,Asad Rauf,S Asnani
598070,Washington DC,2013-05-21,MEK Hussey,Nationals Park,0,San Francisco Giants,Atlanta Braves,San Francisco Giants,bat,San Francisco Giants,runs,48,N,NA,NJ Llong,RJ Tucker
598071,Washington DC,2013-05-22,BJ Hodge,Nationals Park,0,Milwaukee Brewers,Tampa Bay Rays,Tampa Bay Rays,bat,Milwaukee Brewers,wickets,4,N,NA,S Ravi,RJ Tucker
598072,Chicago,2013-05-24,Ian Anderson,Guaranteed Rate Field,0,Atlanta Braves,Milwaukee Brewers,Milwaukee Brewers,Pitch,Atlanta Braves,wickets,4,N,NA,C Shamshuddin,SJA Taufel
598073,Chicago,2013-05-26,KA Pollard,Guaranteed Rate Field,0,San Francisco Giants,Atlanta Braves,Atlanta Braves,bat,Atlanta Braves,runs,23,N,NA,HDPK Dharmasena,SJA Taufel
729279,Phoenix,2014-04-16,Ian Anderson,	Chase Field,1,Atlanta Braves,Chicago Cubs,Chicago Cubs,Pitch,Chicago Cubs,runs,41,N,NA,M Erasmus,RK Illingworth
729281,NA,2014-04-17,YS Chahal,Sharjah Cricket Stadium,1,Washington Nationals,New York Mets,New York Mets,field,New York Mets,wickets,8,N,NA,Aleem Dar,S Ravi
729283,Phoenix,2014-04-18,GJ Maxwell,	Chase Field,1,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,bat,Philadelphia Phillies,wickets,6,N,NA,RK Illingworth,C Shamshuddin
729285,Phoenix,2014-04-18,AM Rahane,	Chase Field,1,Tampa Bay Rays,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,4,N,NA,BF Bowden,RK Illingworth
729287,NA,2014-04-19,PA Patel,Dubai International Cricket Stadium,1,New York Mets,Atlanta Braves,New York Mets,field,New York Mets,wickets,7,N,NA,Aleem Dar,AK Chaudhary
729289,NA,2014-04-19,JP Duminy,Dubai International Cricket Stadium,1,Chicago Cubs,Washington Nationals,Chicago Cubs,bat,Washington Nationals,wickets,4,N,NA,Aleem Dar,VA Kulkarni
729291,NA,2014-04-20,GJ Maxwell,Sharjah Cricket Stadium,1,Milwaukee Brewers,Philadelphia Phillies,Philadelphia Phillies,field,Philadelphia Phillies,wickets,7,N,NA,BF Bowden,M Erasmus
729293,Phoenix,2014-04-21,SK Raina,	Chase Field,1,San Francisco Giants,Washington Nationals,San Francisco Giants,bat,San Francisco Giants,runs,93,N,NA,RK Illingworth,C Shamshuddin
729295,NA,2014-04-22,GJ Maxwell,Sharjah Cricket Stadium,1,Philadelphia Phillies,Tampa Bay Rays,Tampa Bay Rays,field,Philadelphia Phillies,runs,72,N,NA,M Erasmus,S Ravi
729297,NA,2014-04-23,RA Jadeja,Dubai International Cricket Stadium,1,Milwaukee Brewers,San Francisco Giants,Milwaukee Brewers,field,San Francisco Giants,runs,7,N,NA,HDPK Dharmasena,RK Illingworth
729299,NA,2014-04-24,CA Lynn,Sharjah Cricket Stadium,1,New York Mets,Chicago Cubs,New York Mets,field,Chicago Cubs,runs,2,N,NA,Aleem Dar,VA Kulkarni
729301,NA,2014-04-25,AJ Finch,Dubai International Cricket Stadium,1,Tampa Bay Rays,Washington Nationals,Tampa Bay Rays,bat,Tampa Bay Rays,runs,4,N,NA,M Erasmus,S Ravi
729303,NA,2014-04-25,MM Sharma,Dubai International Cricket Stadium,1,San Francisco Giants,Atlanta Braves,Atlanta Braves,bat,San Francisco Giants,wickets,7,N,NA,BF Bowden,M Erasmus
729305,Phoenix,2014-04-26,PV Tambe,	Chase Field,1,Milwaukee Brewers,New York Mets,Milwaukee Brewers,field,Milwaukee Brewers,wickets,6,N,NA,HDPK Dharmasena,C Shamshuddin
729307,Phoenix,2014-04-26,Sandeep Sharma,	Chase Field,1,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,field,Philadelphia Phillies,runs,23,N,NA,HDPK Dharmasena,RK Illingworth
729309,NA,2014-04-27,M Vijay,Sharjah Cricket Stadium,1,Washington Nationals,Atlanta Braves,Atlanta Braves,bat,Washington Nationals,wickets,6,N,NA,Aleem Dar,VA Kulkarni
729311,NA,2014-04-27,DR Smith,Sharjah Cricket Stadium,1,Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays,bat,San Francisco Giants,wickets,5,N,NA,AK Chaudhary,VA Kulkarni
729313,NA,2014-04-28,Sandeep Sharma,Dubai International Cricket Stadium,1,Philadelphia Phillies,New York Mets,Philadelphia Phillies,field,Philadelphia Phillies,wickets,5,N,NA,BF Bowden,S Ravi
729315,Phoenix,2014-04-29,JP Faulkner,	Chase Field,1,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,bat,Milwaukee Brewers,tie,NA,Y,NA,Aleem Dar,AK Chaudhary
729317,NA,2014-04-30,Ian Anderson,Dubai International Cricket Stadium,1,Atlanta Braves,Tampa Bay Rays,Atlanta Braves,Pitch,Tampa Bay Rays,runs,15,N,NA,HDPK Dharmasena,M Erasmus
733971,Oakland,2014-05-02,RA Jadeja,	RingCentral Coliseum,0,San Francisco Giants,Chicago Cubs,San Francisco Giants,bat,San Francisco Giants,runs,34,N,NA,AK Chaudhary,NJ Llong
733973,Cumberland,2014-05-03,Ian Anderson,Truist Park,0,Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies,Pitch,Atlanta Braves,wickets,5,N,NA,BNJ Oxenford,C Shamshuddin
733975,Washington DC,2014-05-03,KK Nair,Nationals Park,0,Washington Nationals,Milwaukee Brewers,Milwaukee Brewers,field,Milwaukee Brewers,wickets,7,N,NA,SS Hazare,S Ravi
733977,"Queens, New York",2014-05-04,AB de Villiers,Citi Field,0,New York Mets,Tampa Bay Rays,New York Mets,field,New York Mets,wickets,4,N,NA,HDPK Dharmasena,VA Kulkarni
